age,height,weight,span,pullup reps,pushup reps,continuoushang,maxhang,weightedpull,repeaters1,powl,powr,max_boulder_numeric,bouldergrade_numeric,sex_encoded
31.0,72.0,175.0,74.0,15.0,31.0,30.0,80.0,80.0,90.0,32.25,32.25,6.0,6.0,1.0
28.0,68.0,153.0,70.0,17.0,26.0,60.0,110.0,115.0,152.0,37.0,37.0,0.0,8.0,1.0
30.0,70.5,175.0,76.0,16.0,31.0,50.0,100.0,105.0,145.0,41.0,41.0,10.0,10.0,1.0
39.0,70.0,180.0,73.0,8.0,12.0,17.0,80.0,70.0,85.0,32.175,31.3,7.0,7.0,1.0
32.0,70.0,155.0,68.0,12.0,15.0,14.0,35.0,45.0,45.0,28.0,27.0,5.0,5.0,1.0
25.0,75.0,150.0,76.0,15.0,21.0,45.0,75.0,75.0,146.0,37.0,35.0,7.0,7.0,1.0
26.0,69.0,160.0,72.5,10.0,30.0,61.0,70.0,60.0,135.0,31.0,31.0,6.0,5.0,1.0
20.0,72.0,158.0,72.0,19.0,37.0,70.0,100.0,90.0,45.0,29.35,29.75,10.0,9.0,1.0
33.0,74.0,172.0,74.0,14.0,23.0,36.0,35.0,96.0,123.0,33.0,33.5,7.0,7.0,1.0
33.0,74.0,172.0,74.0,14.0,23.0,36.0,35.0,96.0,123.0,33.0,33.5,7.0,7.0,1.0
39.0,64.0,115.0,65.0,26.0,53.0,70.0,65.0,75.0,480.0,34.5,34.5,9.0,8.0,0.0
39.0,64.0,115.0,65.0,26.0,53.0,70.0,65.0,75.0,480.0,34.5,34.5,9.0,8.0,0.0
35.0,68.0,160.0,72.0,16.0,36.0,24.0,30.0,84.0,66.6,28.0,28.325,8.0,8.0,1.0
35.0,68.0,160.0,72.0,16.0,36.0,24.0,30.0,84.0,66.6,28.0,28.325,8.0,8.0,1.0
29.0,64.0,117.0,65.25,10.0,16.0,40.0,65.0,50.0,90.0,26.0,26.5,6.0,7.0,0.0
29.0,64.0,117.0,65.25,10.0,16.0,40.0,65.0,50.0,90.0,26.0,26.5,6.0,7.0,0.0
26.0,66.0,143.0,66.0,10.0,21.0,28.0,55.0,50.0,123.0,27.0,30.0,8.0,6.0,1.0
26.0,66.0,143.0,66.0,10.0,21.0,28.0,55.0,50.0,123.0,27.0,30.0,8.0,6.0,1.0
38.0,68.75,146.0,70.75,14.0,31.0,45.0,77.0,65.0,117.0,32.0,30.0,11.0,9.0,1.0
38.0,68.75,146.0,70.75,14.0,31.0,45.0,77.0,65.0,117.0,32.0,30.0,11.0,9.0,1.0
39.0,64.76,123.3,65.315,12.5,33.0,58.7,71.5,53.7,283.2,30.9,30.380000000000003,12.0,4.0,0.0
47.0,62.0,115.0,62.0,8.0,13.0,32.0,35.2,34.9,134.6,26.45,26.8,0.0,4.0,0.0
45.0,68.0,147.0,68.0,23.0,43.0,85.0,105.0,100.0,197.0,40.0,40.0,11.0,9.0,1.0
31.0,74.0,187.0,78.0,19.0,28.0,45.0,94.0,132.0,11.0,44.0,44.0,9.0,8.0,1.0
31.0,66.0,130.0,65.57000000000001,14.0,18.0,48.0,40.0,40.0,140.0,30.0,30.0,10.0,8.0,0.0
24.0,73.0,200.0,73.0,6.0,13.0,27.0,20.0,0.0,5.0,14.0,16.0,2.0,2.0,1.0
32.0,71.0,148.0,72.0,18.0,35.0,45.0,80.0,115.0,135.0,38.0,38.0,7.0,7.0,1.0
27.0,71.0,175.0,172.5,10.0,38.0,28.0,70.0,100.0,155.0,38.0,38.0,9.0,9.0,1.0
38.0,69.0,131.0,72.0,2.0,4.0,32.0,31.5,5.0,86.4,16.75,17.5,0.0,0.0,0.0
38.0,69.0,131.0,72.0,2.0,4.0,32.0,31.5,5.0,86.4,16.75,17.5,0.0,0.0,0.0
36.0,65.5,123.0,67.0,12.0,37.0,53.0,52.0,40.0,475.0,26.5,27.0,0.0,4.0,0.0
37.0,73.0,170.0,73.0,16.0,23.0,63.0,78.0,86.5,195.0,36.0,35.0,7.0,7.0,1.0
49.0,71.5,160.0,75.0,16.0,17.0,31.0,18.0,70.0,90.0,31.25,31.25,5.0,5.0,1.0
37.0,66.5,120.0,67.0,8.0,11.0,42.0,18.0,35.0,90.0,24.5,25.5,4.0,5.0,0.0
29.0,70.0,165.0,72.0,13.0,36.0,30.0,60.0,70.0,78.0,29.0,28.5,8.0,6.0,1.0
35.0,73.0,157.0,74.0,25.0,29.0,52.0,70.0,90.0,188.0,35.0,36.0,0.0,0.0,1.0
46.0,66.0,160.0,55.45,10.0,25.0,9.0,0.0,50.0,10.0,19.0,20.0,0.0,4.0,1.0
31.0,68.5,145.0,69.6,10.0,10.0,55.0,45.0,35.0,87.0,31.35,31.78,8.0,5.0,0.0
29.0,64.0,118.0,66.5,13.0,25.0,38.0,35.0,38.0,173.0,30.0,32.0,0.0,5.0,0.0
47.0,70.0,170.0,70.0,7.0,20.0,31.0,47.0,32.0,134.0,27.0,27.0,0.0,0.0,1.0
38.0,69.0,177.0,68.0,2.0,12.0,15.0,20.0,0.0,37.0,13.0,13.0,2.0,2.0,0.0
42.0,111.0,153.0,173.0,9.0,18.0,24.0,17.0,25.0,80.0,25.0,26.0,2.0,2.0,1.0
35.0,69.0,142.0,67.0,9.0,11.0,26.0,20.0,50.0,40.0,26.5,28.0,0.0,0.0,0.0
48.0,66.0,137.0,69.0,20.0,53.0,69.0,47.0,45.0,246.0,23.0,24.5,5.0,5.0,1.0
